Designator,Mid X,Mid Y,Layer,Rotation
BZ1,171,-70.9,top,0
C1,166.5,-82.7,top,-90
C2,130,-93,top,-90
C3,120,-86.5,top,0
C4,132,-89.275,top,-90
C5,135.225,-95.5,top,0
C6,188.499995,-91.5,top,90
C7,100,-72.5,top,-90
C8,113,-71,top,90
C9,95.4,-102,top,-90
C11,148,-99.5,top,0
C12,126.1,-99.4,top,-90
D1,136,-84.5,top,90
D2,132.5,-84.5,top,90
D3,108,-76,top,180
F1,128,-83.5,top,0
J1,118.75,-90.055,top,0
J2,94.815,-71.97,top,-90
J3,127.33,-70.24,top,0
J4,237.45,-92.85,top,90
J5,237.455,-82.15,top,90
J6,219.12,-74.385,top,90
L1,104,-72.5,top,-90
Q1,129,-89.5,top,0
Q2,164.6,-69.7,top,90
Q3,222.875,-81.95,top,0
R1,166.2,-86.7,top,0
R2,166.2,-89.2,top,0
R3,166.2,-91.7,top,0
R4,166.2,-94.2,top,0
R5,164.9,-100,top,0
R6,134.5,-84.5,top,-90
R7,129.5,-86.5,top,180
R8,122,-79,top,90
R9,119,-79,top,90
R10,187.499995,-76.5,top,0
R11,187.5,-79.1,top,0
R12,187.5,-81.6,top,0
R13,187.499995,-84,top,0
R14,187.475,-86.66,top,0
R15,111,-73,top,90
R16,111,-69,top,90
R17,96.2,-99.4,top,0
R18,151,-101,top,90
R19,153,-101,top,90
R22,156.5,-72.5,top,-90
R23,121.5,-68.5,top,-90
R24,129,-76.825,top,-90
R25,159.5,-72.5,top,-90
R26,144.3,-74,top,0
R27,153,-74,top,0
R28,126.1,-95.9,top,90
R29,216.8,-83.6,top,180
R30,216.8,-80.6,top,0
R31,143.6,-102.825,top,90
SW1,91.7,-103,top,-90
SW2,134.65,-102.9,top,0
U1,84.8875,-79.1875,top,0
U2,168.23,-101.344,top,0
U3,119.515,-83.5,top,90
U4,137.5,-91,top,0
U5,191.5,-76.5,top,0
U6,108,-71,top,180
U8,153.54,-88.5,top,0
