Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_12x9.5RM7.6,1,TMB12A03,TMB12A03
"C1, C12, C3, C6, C9",0603,5,100n_0603_TCC0603X7R104K500CT,TCC0603X7R104K500CT
"C11, C5",0603,2,1u_0603_UMK107BJ105KA-T,UMK107BJ105KA-T
C2,0805,1,4.7u_0805_CL21A475KAQNNNE,CL21A475KAQNNNE
C4,0603,1,1u_0603_CL10A105KA8NNNC,CL10A105KA8NNNC
"C7, C8",0805,2,22u_0805_CL21A226MAQNNNE,CL21A226MAQNNNE
"D2, D3",D_SOD-323,2,1N5819WS,1N5819WS
D4,D_SMA,1,SMAJ5.0CA/TR13_NONAME,SMAJ5.0CA/TR13
F1,1812,1,MF-MSMF010-2,MF-MSMF010-2
"J1, J2, J4, J5",JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,4,Conn-01x02_P2.5mm_S2B-XH-A-BK(LF)(SN),S2B-XH-A-BK(LF)(SN)
J3,USB-C-SMD_GT-USB-7051A,1,GT-USB-7051A,GT-USB-7051A
J6,PinHeader_1x05_P2.54mm_Horizontal,1,Conn_01x05,C492413
L1,1210,1,22u_620mA_1210_CBC3225T220KR,CBC3225T220KR
Q1,SOT-23,1,AO3401A,AO3401A
Q2,SOT-23,1,AO3400A,AO3400A
Q3,SOT-363_SC-70-6,1,BC847BDW1,
"R10, R11, R12, R13, R14, R18, R3, R4, R5, R8, R9",0603,11,0R_0603_0603WAF0000T5E,0603WAF0000T5E
R15,0603,1,47k_0402_0402WGF1002TCE,0402WGF4702TCE
"R16, R6",0603,2,10k_0603_RC0603JR-0710KL,RC0603JR-0710KL
"R17, R28",0603,2,100R_0603_RC0603FR-07100RL,RC0603FR-07100RL
"R19, R31",0603,2,100k_0603_RC0603FR-07100KL,RC0603FR-07100KL
"R22, R25",0603,2,4.7k_0402_0402WGF4701TCE,0402WGF4701TCE
"R23, R24",0603,2,5.1k_0603_0603WAF5101T5E,0603WAF5101T5E
R26,R_LDR_D6.4mm_P3.4mm_Vertical,1,A1050 13,
R27,0603,1,75k_0603_RC0603FR-0775KL,RC0603FR-0775KL
"R29, R30, R7",0603,3,1k_0603_RMC06031K1%N,RMC06031K1%N
SW2,SW_PB_B3F-4055,1,SW_PB_B3F-4055,B3F-4055
SW3,SW_Tactile_SPST_Angled_K2-1102AQ-H4CW-01,1,K2-1102AQ-H4CW-01,K2-1102AQ-H4CW-01
U1,TP4056-18650,1,TP4056-42-ESOP8,
U2,GY-521_Angled,1,MPU-6050,
U3,SON50P200X200X80-9N,1,MAX17048,
U4,SOT-223-3_TabPin2,1,MCP1826S-33,
U5,RFID_RC522,1,RFID-RC522,
U6,SOT-23-6,1,MT3608,
U8,Heltec_HT-CT62,1,HT-CT62,
