Designator,Mid X,Mid Y,Rotation,Layer
BZ1,109.75,-40.4,0.0,top
C1,101.45,-52.2,270.0,top
C11,82.95,-69.0,0.0,top
C12,61.05,-68.9,270.0,top
C2,64.95,-62.5,270.0,top
C3,54.95,-56.0,0.0,top
C4,66.95,-58.775,270.0,top
C5,70.175,-65.0,0.0,top
C6,123.449995,-61.0,90.0,top
C7,34.95,-42.0,270.0,top
C8,47.95,-40.5,90.0,top
C9,30.35,-71.5,270.0,top
D2,67.45,-54.0,90.0,top
D3,42.95,-45.5,180.0,top
D4,72.75,-52.9,90.0,top
F1,62.95,-53.0,0.0,top
J1,54.95,-59.555,0.0,top
J2,29.765,-42.72,270.0,top
J3,61.729987,-39.74,0.0,top
J4,172.4,-61.1,90.0,top
J5,172.405,-50.4,90.0,top
J6,159.15,-43.885,90.0,top
L1,38.95,-42.0,270.0,top
Q1,63.95,-59.0,180.0,top
Q2,99.55,-39.2,270.0,top
Q3,157.825,-51.45,180.0,top
R1,101.15,-56.2,0.0,top
R10,122.449995,-46.0,0.0,top
R11,122.45,-48.6,0.0,top
R12,122.45,-51.1,0.0,top
R13,122.449995,-53.5,0.0,top
R14,122.425,-56.16,0.0,top
R15,45.95,-42.5,90.0,top
R16,45.95,-38.5,90.0,top
R17,31.15,-68.9,0.0,top
R18,85.95,-70.5,90.0,top
R19,87.95,-70.5,90.0,top
R2,101.15,-58.7,0.0,top
R22,91.45,-42.0,270.0,top
R23,56.45,-38.0,270.0,top
R24,63.95,-46.325,270.0,top
R25,94.45,-42.0,270.0,top
R26,80.95,-43.5,0.0,top
R27,87.95,-43.5,0.0,top
R28,61.05,-65.4,90.0,top
R29,151.75,-53.1,180.0,top
R3,101.15,-61.2,0.0,top
R30,151.75,-50.1,0.0,top
R31,78.55,-72.325,90.0,top
R4,101.15,-63.7,0.0,top
R5,99.85,-69.5,0.0,top
R6,69.45,-54.0,270.0,top
R7,64.45,-56.0,180.0,top
R8,56.95,-48.5,90.0,top
R9,53.95,-48.5,90.0,top
SW2,69.6,-72.4,0.0,top
SW3,24.4,-72.525,90.0,top
U1,32.9875,-57.6375,0.0,top
U2,104.95,-59.89,0.0,top
U3,54.465,-53.0,90.0,top
U4,72.45,-60.5,180.0,top
U5,126.45,-54.89,0.0,top
U6,42.95,-40.5,0.0,top
U8,88.49,-58.0,0.0,top
